code;label-en_GB;label-fr_BE;label-nl_BE;attributes;disabledByParent;enabled;parent;simple_name-en_GB;simple_name-fr_BE;simple_name-nl_BE;sort_order
master;;;;Alternatives;0;1;;;;;
grondverzet_0;Grondverzet;;Grondverzet;Alternatives,transporttest;0;1;master;;;;0
bulldozersengrader_0;"Bulldozers en grader";;"Bulldozers en graders";laser,pressurized_cabin,Alternatives,transporttest,Uit_te_voeren_werken,Requirements_Machines;0;1;grondverzet_0;;;;0
bulldozer_0;Bulldozer;;Bulldozers;laser,pressurized_cabin,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,steering_ats,steering_gps,blade_s,blade_su,blade_vpat,ripper;0;1;bulldozersengrader_0;;;;0
klein_0;"Klein ";;"Klein ";laser,probe,pressurized_cabin,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Withoutcabine,steering_ats,steering_gps,blade_s,blade_su,blade_vpat,ripper;0;1;bulldozer_0;;;;0
smallbulldozers;"< 8,5 ton";;"< 8,5 ton";;0;1;klein_0;;;;0
85tontyped4k_0;"8.5 ton type D4K";;"8,5 ton (= Type D4K)";;0;1;klein_0;;;;1
95tontyped5k_1;"9.5 ton type D5K";;"9,5 ton (= Type D5K)";;0;1;klein_0;;;;2
middelgroot_3;"Middelgroot ";;"Middelgroot ";probe;0;1;bulldozer_0;;;;1
14tontyped6k_3;"14 ton type D6K";;"14 ton (= Type D6K)";probe;0;1;middelgroot_3;;;;0
18tontyped6n_4;"18 ton type D6N";;"18 ton (= Type D6N)";;0;1;middelgroot_3;;;;1
24tontyped6t_5;"24 ton type D6T";;"24 ton (= Type D6T)";;0;1;middelgroot_3;;;;2
groot_6;"Groot ";;"Groot ";;0;1;bulldozer_0;;;;2
285tontyped7t_6;"28.5 ton type D7T";;"28,5 ton (= Type D7T)";;0;1;groot_6;;;;0
39tontyped8t_7;"39 ton type D8T";;"39 ton (= Type D8T)";;0;1;groot_6;;;;1
50tontyped9t_8;"50 ton type D9T";;"50 ton (= Type D9T)";;0;1;groot_6;;;;2
66tontyped10t_9;"66 ton type D10T";;"66 ton (= Type D10T)";;0;1;groot_6;;;;3
104tontyped11t_10;"104 ton type D11T";;"104 ton (= Type D11T)";;0;1;groot_6;;;;4
motorgrader_11;Motorgrader;;Motorgraders;laser,probe,pressurized_cabin,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,steering_ats,steering_gps,frontblade_pushblade,ripper;0;1;bulldozersengrader_0;;;;1
klein_11;Klein;;Klein;laser,probe,pressurized_cabin,Alternatives,bemanning,Uit_te_voeren_werken,steering_ats,steering_gps,frontblade_pushblade,ripper;0;1;motorgrader_11;;;;0
18tontype120m_11;"6-12 ton";;"6-12 ton";;0;1;klein_11;;;;0
12_14ton;12-14ton;;">12-14 ton";;0;1;klein_11;;;;1
middelgroot_12;Middelgroot;;Middelgroot;;0;1;motorgrader_11;;;;1
20tontype140m_12;"18 ton type 120M";;"18 ton (= Type 120M)";;0;1;middelgroot_12;;;;0
groot_14;Groot;;Groot;;0;1;motorgrader_11;;;;2
32tontype16m3_14;"20 ton (= Type 140M)";;"20 ton (= Type 140M)";;0;1;groot_14;;;;0
21ton;"21 ton type 160M";;"21 ton (= Type 160M)";;0;1;groot_14;;;;1
tractormetkilverbord_15;"Tractor met kilverbord";;"Tractoren met kilverbord";laser,pressurized_cabin,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,steering_ats,steering_gps;0;1;bulldozersengrader_0;;;;2
klein_15;klein;;Klein;;0;1;tractormetkilverbord_15;;;;0
2mbreedte_15;"2 m breedte";;"2m breedte";laser,pressurized_cabin,Alternatives,bemanning,Uit_te_voeren_werken,steering_ats,steering_gps;0;1;klein_15;;;;0
middelgroot_16;middelgroot;;Middelgroot;;0;1;tractormetkilverbord_15;;;;1
4mbreedte_16;"4m breedte";;"4m breedte";;0;1;middelgroot_16;;;;0
groot_17;groot;;Groot;;0;1;tractormetkilverbord_15;;;;2
6mbreedte_17;"6m breedte";;"6m breedte";;0;1;groot_17;;;;0
hydraulischegraafkranen_18;"Hydraulische graafkranen";;"Hydraulische graafkranen";pressurized_cabin,Alternatives,transporttest,Uit_te_voeren_werken,Requirements_Machines;0;1;grondverzet_0;;;;1
rupskranen_18;Rupskranen;;Rupskranen;laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,Compation_wheel;0;1;hydraulischegraafkranen_18;;;;0
1ton6ton_18;"1 ton - 6 ton";;"Minigraver (0-8 ton)";laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,Withoutcabine,inside_turner;0;1;rupskranen_18;;;;0
0ton1ton_18;"0 ton - 1 ton";;"0-1 ton";laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,Compation_wheel;0;1;1ton6ton_18;;;;0
1ton2ton_19;"1 ton - 2 ton";;">1-2 ton";steering,laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,sorting_head_grapples,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Smalle_bak,Hybride,Rippertand,inside_turner;0;1;1ton6ton_18;;;;1
2ton3ton_20;"2 ton - 3 ton";;">2-3 ton";;0;1;1ton6ton_18;;;;2
3ton4ton_21;"3 ton - 4 ton";;">3-4 ton";steering,laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,sorting_head_grapples,Alternatives,bemanning,Uit_te_voeren_werken,Smalle_bak,Hybride,Rippertand,inside_turner;0;1;1ton6ton_18;;;;3
4ton5ton_22;"4 ton - 5 ton";;">4-5 ton";;0;1;1ton6ton_18;;;;4
5ton6ton_23;"5 ton - 6 ton";;">5-6 ton";;0;1;1ton6ton_18;;;;5
6ton8ton_24;"6 ton - 8 ton";;">6-8 ton";;0;1;1ton6ton_18;;;;6
6ton20ton_24;">8 ton - 20 ton";;">8-20 ton";steering,laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,steering_ats,steering_gps,triple_boom,inside_turner;0;1;rupskranen_18;;;;1
8ton10ton_25;"8 ton - 10 ton";;">8-10 ton";;0;1;6ton20ton_24;;;;0
10ton12ton_26;"10 ton - 12 ton";;">10-12 ton";steering,laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,steering_ats,steering_gps,triple_boom,inside_turner;0;1;6ton20ton_24;;;;1
12ton14ton_27;"12 ton - 14 ton";;">12-14 ton";;0;1;6ton20ton_24;;;;2
14ton16ton_28;"14 ton - 16 ton";;">14-16 ton";;0;1;6ton20ton_24;;;;3
16ton18ton_29;"16 ton - 18 ton";;">16-18 ton";;0;1;6ton20ton_24;;;;4
18ton20ton_30;"18 ton - 20 ton";;">18-20 ton";;0;1;6ton20ton_24;;;;5
20ton35ton_31;">20 ton - 35 ton";;">20-35 ton";steering,laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,semi_automatic,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,weight_system,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,steering_ats,steering_gps,cabine_protection,inside_turner;0;1;rupskranen_18;;;;2
20ton22ton_31;"20 ton - 22 ton";;">20-22 ton";;0;1;20ton35ton_31;;;;0
22ton24ton_32;"22 ton - 24 ton";;">22-24 ton";steering,laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,semi_automatic,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,weight_system,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,steering_ats,steering_gps,cabine_protection,inside_turner;0;1;20ton35ton_31;;;;1
24ton26ton_33;"24 ton - 26 ton";;">24-26 ton";;0;1;20ton35ton_31;;;;2
26ton28ton_34;"26 ton - 28 ton";;">26-28 ton";;0;1;20ton35ton_31;;;;3
28ton30ton_35;"28 ton - 30 ton";;">28-30 ton";;0;1;20ton35ton_31;;;;4
30ton35ton_36;"30 ton - 35 ton";;">30-35 ton";;0;1;20ton35ton_31;;;;5
35ton50ton_37;">35 ton - 50 ton";;">35-50 ton";steering,laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,semi_automatic,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,weight_system,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,steering_ats,steering_gps,cabine_protection;0;1;rupskranen_18;;;;3
35ton40ton_37;"35 ton - 40 ton";;">35-40 ton";;0;1;35ton50ton_37;;;;0
40ton45ton_38;"40 ton - 45 ton";;">40-45 ton";steering,laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,semi_automatic,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,weight_system,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,steering_ats,steering_gps,cabine_protection;0;1;35ton50ton_37;;;;1
45ton50ton_39;"45 ton - 50 ton";;">45-50 ton";;0;1;35ton50ton_37;;;;2
50ton_40;"> 50 ton";;">50 ton";steering,laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,steering_ats,steering_gps,cabine_protection;0;1;rupskranen_18;;;;4
50ton60ton_40;"50 ton - 60 ton";;">50-60 ton";;0;1;50ton_40;;;;0
60ton70ton_41;"60 ton - 70 ton";;">60-70 ton";steering,laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,steering_ats,steering_gps,cabine_protection;0;1;50ton_40;;;;1
70ton80ton_42;"70 ton - 80 ton";;">70-80 ton";;0;1;50ton_40;;;;2
80ton90ton_43;"80 ton - 90 ton";;">80-90 ton";;0;1;50ton_40;;;;3
90ton100ton_44;"90 ton - 100 ton";;">90-100 ton";;0;1;50ton_40;;;;4
100ton_45;"> 100 ton";;">100 ton";;0;1;50ton_40;;;;5
overslagkranen_46;Overslagkranen;;Overslagkranen;weight_system,scale_gripper,poli_grab;0;1;hydraulischegraafkranen_18;;;;1
rupskranen_46;Rupskranen;;Rupskranen;;0;1;overslagkranen_46;;;;0
20ton30ton_46;"20 ton - 30 ton";;"20-30 ton";weight_system,scale_gripper,poli_grab;0;1;rupskranen_46;;;;0
30ton40ton_47;"30 ton - 40 ton";;">30-40 ton";;0;1;rupskranen_46;;;;1
40ton50ton_48;"40 ton - 50 ton";;">40-50 ton";;0;1;rupskranen_46;;;;2
50ton_49;"> 50 ton";;">50 ton";;0;1;rupskranen_46;;;;3
bandenkranen_50;Bandenkranen;;Bandenkranen;;0;1;overslagkranen_46;;;;1
20ton30ton_50;"20 ton - 30 ton";;"20-30 ton";;0;1;bandenkranen_50;;;;0
30ton40ton_51;"30 ton - 40 ton";;">30-40 ton";;0;1;bandenkranen_50;;;;1
40ton50ton_52;"40 ton - 50 ton";;">40-50 ton";;0;1;bandenkranen_50;;;;2
50ton_53;"> 50 ton";;">50 ton";;0;1;bandenkranen_50;;;;3
rupskranengrootgraafbereik_54;"Rupskranen groot graafbereik";;"Rupskranen groot graafbereik";laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Rippertand,Requirements_Machines,Compation_wheel,steering_ats,steering_gps;0;1;hydraulischegraafkranen_18;;;;2
semilong8m14m_54;"semi-long (8m - 14m)";;"Semi-long (8-14m)";;0;1;rupskranengrootgraafbereik_54;;;;0
20ton30ton_54;"20 ton - 30 ton";;"20-30 ton";laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,Alternatives,bemanning,Uit_te_voeren_werken,Rippertand,Requirements_Machines,Compation_wheel,steering_ats,steering_gps;0;1;semilong8m14m_54;;;;0
30ton40ton_55;"30 ton - 40 ton";;">30-40 ton";;0;1;semilong8m14m_54;;;;1
40ton50ton_56;"40 ton - 50 ton";;">40-50 ton";;0;1;semilong8m14m_54;;;;2
50ton60ton_57;"50 ton - 60 ton";;">50-60 ton";;0;1;semilong8m14m_54;;;;3
60ton_58;"> 60 ton";;">60 ton";;0;1;semilong8m14m_54;;;;4
long14m20m_59;"long (14m - 20m)";;"Long (14-20m)";;0;1;rupskranengrootgraafbereik_54;;;;1
20ton30ton_59;"20 ton - 30 ton";;"20-30 ton";;0;1;long14m20m_59;;;;0
30ton40ton_60;"30 ton - 40 ton";;">30-40 ton";;0;1;long14m20m_59;;;;1
40ton50ton_61;"40 ton - 50 ton";;">40-50 ton";;0;1;long14m20m_59;;;;2
50ton60ton_62;"50 ton - 60 ton";;">50-60 ton";;0;1;long14m20m_59;;;;3
60ton_63;"> 60 ton";;">60 ton";;0;1;long14m20m_59;;;;4
extralong20m_64;"extra long (>20m)";;"Extra long (>20m)";;0;1;rupskranengrootgraafbereik_54;;;;2
20ton30ton_64;"20 ton - 30 ton";;"20-30 ton";;0;1;extralong20m_64;;;;0
30ton40ton_65;"30 ton - 40 ton";;">30-40 ton";;0;1;extralong20m_64;;;;1
40ton50ton_66;"40 ton - 50 ton";;">40-50 ton";;0;1;extralong20m_64;;;;2
50ton60ton_67;"50 ton - 60 ton";;">50-60 ton";;0;1;extralong20m_64;;;;3
60ton_68;"> 60 ton";;"> 60 ton";;0;1;extralong20m_64;;;;4
bandenkranen_69;Bandenkranen;;Bandenkranen;laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,Compation_wheel,steering_ats,steering_gps;0;1;hydraulischegraafkranen_18;;;;3
8ton11ton_69;"8 ton - 11 ton";;"8-11 ton";;0;1;bandenkranen_69;;;;
11ton14ton_70;"11 ton - 14 ton";;">11-14 ton";laser,pressurized_cabin,tilt_coupling,tilt_rotation_coupling,hydraulic_breaker,hydraulic_crusher,hydraulic_concrete_breaker,hydraulic_iron_scissors,sorting_head_grapples,palletfork,cobblestone_tank,Alternatives,bemanning,Uit_te_voeren_werken,Smalle_bak,Kantelkoppeling_kantelbak,Rippertand,Compation_wheel,steering_ats,steering_gps;0;1;bandenkranen_69;;;;
14ton17ton_71;"14 ton - 17 ton";;">14-17 ton";;0;1;bandenkranen_69;;;;
17ton20ton_72;"17 ton - 20 ton";;">17-20 ton";;0;1;bandenkranen_69;;;;
20ton_73;"> 20 ton";;">20 ton";;0;1;bandenkranen_69;;;;
dumpers_77;Dumpers;;Dumpers;pressurized_cabin,weight_system,Alternatives,transporttest,Uit_te_voeren_werken,Requirements_Machines;0;1;grondverzet_0;;;;2
Mini_Dumpers;"Mini dumpers (0-9 ton)";;"Mini dumpers (0-9 ton)";pressurized_cabin,weight_system,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,rotating_tipper;0;1;dumpers_77;;;;
Banden;Banden;;Banden;pressurized_cabin,weight_system,Alternatives,Uit_te_voeren_werken,Requirements_Machines;0;1;Mini_Dumpers;;;;
0_2ton2;"0-2 ton";;"0-2 ton";pressurized_cabin,weight_system,Alternatives,bemanning,Uit_te_voeren_werken,RoterendeKipbak;0;1;Banden;;;;
2_4ton2;">2-4 ton";;">2-4 ton";;0;1;Banden;;;;
4_8ton;">4-8 ton";;">4-9 ton";;0;1;Banden;;;;
Rupsen;Rupsen;;Rupsen;;0;1;Mini_Dumpers;;;;
0_2ton3;"0-2 ton";;"0-2 ton";;0;1;Rupsen;;;;
2_4ton3;">2-4 ton";;">2-4 ton";;0;1;Rupsen;;;;
4_8ton3;">4-8 ton";;">4-9 ton";;0;1;Rupsen;;;;
knikdumpers_77;Knikdumpers;;Knikdumpers;pressurized_cabin,weight_system,gps_tracking,hardox_strengthened,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Spon;0;1;dumpers_77;;;;
15ton_77;">9-15 ton";;">9-15 ton";;0;1;knikdumpers_77;;;;
15ton20ton_78;"15 ton - 20 ton";;">15-20 ton";pressurized_cabin,weight_system,gps_tracking,hardox_strengthened,Alternatives,bemanning,Uit_te_voeren_werken,Spon;0;1;knikdumpers_77;;;;
20ton25ton_79;"20 ton - 25 ton";;">20-25 ton";;0;1;knikdumpers_77;;;;
25ton30ton_80;"25 ton - 30 ton";;">25-30 ton";;0;1;knikdumpers_77;;;;
30ton35ton_81;"30 ton - 35 ton";;">30-35 ton";;0;1;knikdumpers_77;;;;
35ton_82;"> 35 ton";;">35 ton";;0;1;knikdumpers_77;;;;
starredumpers_86;"Starre dumpers";;"Starre dumpers";pressurized_cabin,weight_system,hardox_strengthened,Alternatives,transporttest,bemanning,Uit_te_voeren_werken;0;1;dumpers_77;;;;
40ton_86;"<= 40 ton";;"< of = 40 ton";;0;1;starredumpers_86;;;;
40ton_87;"> 40 ton";;">40 ton";pressurized_cabin,weight_system,hardox_strengthened,Alternatives,bemanning,Uit_te_voeren_werken;0;1;starredumpers_86;;;;
rupsdumpers_83;Rupsdumpers;;Rupsdumpers;pressurized_cabin,weight_system,hardox_strengthened,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,rotating_tipper;0;1;dumpers_77;;;;
7ton12ton_84;">9-12 ton";;">9-12 ton";pressurized_cabin,weight_system,turntable,hardox_strengthened,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Requirements_Machines,rotating_tipper;0;1;rupsdumpers_83;;;;
12ton_85;"> 12 ton";;">12 ton";pressurized_cabin,weight_system,hardox_strengthened,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Requirements_Machines,rotating_tipper;0;1;rupsdumpers_83;;;;
wielenrupsladers_88;"Wiel- en rupsladers";;"Wiel- en rupsladers";pressurized_cabin,weight_system,scoop_tank,palletfork,cobblestone_tank,equalize_tank,Alternatives,transporttest,Uit_te_voeren_werken,Requirements_Machines;0;1;grondverzet_0;;;;3
knikladers_88;Knikladers;;Knikladers;pressurized_cabin,weight_system,scoop_tank,palletfork,cobblestone_tank,equalize_tank,Alternatives,transporttest,bemanning,Uit_te_voeren_werken;0;1;wielenrupsladers_88;;;;
Zeer_klein;"Zeer klein";;"Klein (0-4 ton)";pressurized_cabin,weight_system,scoop_tank,palletfork,cobblestone_tank,equalize_tank,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Requirements_Machines,lifting_arm,Mestklauw,Pelikaanbak,Broom_Bucket,Klinkerklem;0;1;knikladers_88;;;;
0_2ton;"0-2 ton";;"0-2 ton";pressurized_cabin,weight_system,scoop_tank,palletfork,cobblestone_tank,equalize_tank,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,Requirements_Machines,lifting_arm,Mestklauw,Tegelriek;0;1;Zeer_klein;;;;
2_4ton;"2-4 ton";;">2-4 ton";pressurized_cabin,weight_system,scoop_tank,palletfork,cobblestone_tank,equalize_tank,Alternatives,bemanning,Uit_te_voeren_werken,Requirements_Machines,lifting_arm,Mestklauw,Pelikaanbak;0;1;Zeer_klein;;;;
klein3t9t_88;"klein (3t - 9t)";;"Middelgroot (5-9 ton)";pressurized_cabin,weight_system,scoop_tank,palletfork,cobblestone_tank,equalize_tank,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,lifting_arm;0;1;knikladers_88;;;;
