code;label-nl_BE;label-fr_BE;label-nl_NL;label-fr_FR;label-en_GB;attributes;attribute_as_image;attribute_as_label;requirements-acaza;requirements-alumbro;requirements-bol;requirements-decoraza;requirements-mobistoxx
4;Default;Default;Default;Default;;akeneo_image,colli,delai_livraison,description,etiquette,exclude_from_sitemap,inventory_backorder_status,is_in_stock,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,msrp,name,name_configurable,price,price_view,product_id,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
33;"Mobistoxx Default";"Mobistoxx Default";"Mobistoxx Default";"Mobistoxx Default";;akeneo_image,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
43;"Fer forgé Table";"Fer forgé Table";"Fer forgé Table";"Fer forgé Table";;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,ferforge_dimensions,ferforge_modele,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
44;"Fer forgé Console";"Fer forgé Console";"Fer forgé Console";"Fer forgé Console";;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,ferforge_dimensions,ferforge_modele,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
45;"Fer forgé Table basse";"Fer forgé Table basse";"Fer forgé Table basse";"Fer forgé Table basse";;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,ferforge_dimensions,ferforge_modele,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
46;"Fer forgé Literie";"Fer forgé Literie";"Fer forgé Literie";"Fer forgé Literie";;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,literie_dimensions,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
48;Canapé;Canapé;Canapé;Canapé;;akeneo_image,barcode,canape_coloris,canape_composition,canape_revetement,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
49;"Rousseau Cuisine";"Rousseau Cuisine";"Rousseau Cuisine";"Rousseau Cuisine";;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,meuble_composition,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
51;Pouf;Pouf;Pouf;Pouf;;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,msrp,name,name_configurable,pouf_coloris,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
52;Rotin;Rotin;Rotin;Rotin;;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,meuble_composition,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
53;"Rousseau club";"Rousseau club";"Rousseau club";"Rousseau club";;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
59;"simple couleurs";"simple couleurs";"simple couleurs";"simple couleurs";;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
60;Bent;Bent;Bent;Bent;;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,ferforge_modele,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
61;"Fauteuil Relax";"Fauteuil Relax";"Fauteuil Relax";"Fauteuil Relax";;akeneo_image,barcode,canape_coloris,canape_revetement,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
62;"Lit Rousseau";"Lit Rousseau";"Lit Rousseau";"Lit Rousseau";;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,literie_dimensions,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
63;Alizé;Alizé;Alizé;Alizé;;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,literie_dimensions,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,textile_lit,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
64;"Germania meuble";"Germania meuble";"Germania meuble";"Germania meuble";;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,meuble_composition,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
