code;label-nl_BE;label-fr_BE;label-nl_NL;label-fr_FR;label-en_GB;attributes;attribute_as_image;attribute_as_label;requirements-acaza;requirements-alumbro;requirements-bol;requirements-decoraza;requirements-mobistoxx
87;"Germania meuble + option";"Germania meuble + option";"Germania meuble + option";"Germania meuble + option";;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,meuble_composition,meuble_option,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
89;"simple couleurs + 2 options";"simple couleurs + 2 options";"simple couleurs + 2 options";"simple couleurs + 2 options";;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,meuble_option,meuble_option2,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
92;"Frais de livraison";"Frais de livraison";"Frais de livraison";"Frais de livraison";;akeneo_image,colli,delai_livraison,delai_livraison_jour,description,etiquette,exclude_from_sitemap,fournisseur,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
93;Tente;Tente;Tente;Tente;;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_option,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,textile_lit,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
95;Warranty;Warranty;Warranty;Warranty;;akeneo_image,description,exclude_from_sitemap,inventory_backorder_status,is_in_stock,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,msrp,name,name_configurable,price,price_view,product_id,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,weight;akeneo_image;name;sku;sku;sku;sku;sku
96;Tapis;Tapis;Tapis;Tapis;;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tablerepas_dimensions,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
97;Germania_table_option;Germania_table_option;Germania_table_option;Germania_table_option;;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,meuble_option,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tablerepas_dimensions,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
98;Germania_tablebasse_option;Germania_tablebasse_option;Germania_tablebasse_option;Germania_tablebasse_option;;akeneo_image,barcode,collection_tweakwise,colli,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,ferforge_modele,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,meuble_option,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
99;Salsakast;Salsakast;Salsakast;Salsakast;;akeneo_image,barcode,collection_tweakwise,colli,coloris_carcasse,delai_livraison,delai_livraison_jour,description,dimensions_depth,dimensions_height,dimensions_width,etiquette,exclude_from_sitemap,fournisseur,info_product,info_verpakking,inventory_backorder_status,is_in_stock,marge_price,media_gallery_1,media_gallery_10,media_gallery_2,media_gallery_3,media_gallery_4,media_gallery_5,media_gallery_6,media_gallery_7,media_gallery_8,media_gallery_9,media_gallery_alt_1,media_gallery_alt_10,media_gallery_alt_2,media_gallery_alt_3,media_gallery_alt_4,media_gallery_alt_5,media_gallery_alt_6,media_gallery_alt_7,media_gallery_alt_8,media_gallery_alt_9,media_gallery_disabled_1,media_gallery_disabled_10,media_gallery_disabled_2,media_gallery_disabled_3,media_gallery_disabled_4,media_gallery_disabled_5,media_gallery_disabled_6,media_gallery_disabled_7,media_gallery_disabled_8,media_gallery_disabled_9,media_gallery_position_1,media_gallery_position_10,media_gallery_position_2,media_gallery_position_3,media_gallery_position_4,media_gallery_position_5,media_gallery_position_6,media_gallery_position_7,media_gallery_position_8,media_gallery_position_9,meta_description,meta_keyword,meta_title,meuble_coloris,meuble_composition,msrp,name,name_configurable,pourcentage_advised_normal,pourcentage_normal_sales,price,price_view,product_id,purchasing_price,sherpa_item_code,short_delivery_message,short_description,sku,special_from_date,special_to_date,status,tax_class_id,thumbnail,url_key,video_gallery_value,visibility,volume,weight;akeneo_image;name;sku;sku;sku;sku;sku
